Have,Want,Trade,Name,Set,Low,Mid,High
1,0,0,Magnemite,Base Set 2,$0.15,$0.31,$2.00
2,0,0,Magnemite,Triumphant,$0.17,$0.34,$1.46
1,0,0,Magnemite,SV03: Obsidian Flames,$0.01,$0.05,$2.95
1,0,0,Magneton,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$3.00
1,0,0,Magneton (42),Stormfront,$0.26,$0.56,$1.00
1,0,0,Magnezone V - [Holofoil],SWSH11: Lost Origin,$0.17,$0.59,$5.28
1,0,0,Magikarp,Stormfront,$0.20,$0.69,$8.99
3,0,0,Magikarp,Pokemon GO,$0.01,$0.09,$2.00
1,0,0,Magikarp - [Reverse Holofoil],Pokemon GO,$0.01,$0.20,$2.99
1,0,0,Magikarp,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
4,0,0,Machoke,Base Set,$0.09,$0.50,$11.00
2,0,0,Machoke,SWSH11: Lost Origin,$0.01,$0.06,$999.00
5,0,0,Machop,Base Set,$0.05,$0.30,$5.57
1,0,0,Machop,Plasma Blast,$0.09,$0.20,$1.36
1,0,0,Magearna V - [Holofoil],SWSH12: Silver Tempest,$0.19,$0.62,$4.99
4,0,0,Lunatone,Crown Zenith,$0.01,$0.06,$1.04
1,0,0,Luxray (43),Crown Zenith,$0.01,$0.11,$1.24
1,0,0,Lycanroc ex - [Holofoil],SV02: Paldea Evolved,$0.25,$0.72,$5.50
1,0,0,Machamp - 8/102 - [1st Edition Holofoil],Deck Exclusives,$4.84,$10.39,$999.99
1,0,0,Lucario,Legends Awakened,$0.53,$1.05,$5.99
2,0,0,Lucario,SV01: Scarlet & Violet Base Set,$0.01,$0.10,$5.00
1,0,0,Lucario - [Reverse Holofoil],SV01: Scarlet & Violet Base Set,$0.07,$0.22,$2.95
1,0,0,Lucario VSTAR - SWSH214 - [Holofoil],SWSH: Sword & Shield Promo Cards,$0.40,$1.00,$99.99
1,0,0,Lucky Ice Pop,SWSH07: Evolving Skies,$0.01,$0.10,$1.00
1,0,0,Lugia ex - [Holofoil],Trading Card Game Classic,$0.40,$0.90,$17.50
1,0,0,Lugia V - SWSH301 - [Holofoil],SWSH: Sword & Shield Promo Cards,$1.98,$3.74,$27.03
1,0,0,Lotad - 2/12 - [Holofoil],McDonald's Promos 2015,$1.97,$4.75,$6.68
1,0,0,Loudred,Supreme Victors,$0.20,$0.30,$1.47
1,0,0,Loudred,SWSH04: Vivid Voltage,$0.01,$0.10,$1.29
2,0,0,Lopunny,SWSH08: Fusion Strike,$0.01,$0.08,$2.00
1,0,0,Lopunny - [Reverse Holofoil],SWSH08: Fusion Strike,$0.05,$0.17,$1.36
2,0,0,Lilligant,SWSH07: Evolving Skies,$0.01,$0.11,$2.99
6,0,0,Lillipup,SWSH07: Evolving Skies,$0.01,$0.08,$2.99
5,0,0,Litleo,SWSH07: Evolving Skies,$0.01,$0.06,$1.50
1,0,0,Litleo - [Reverse Holofoil],SWSH07: Evolving Skies,$0.04,$0.15,$2.00
3,0,0,Litleo,SV02: Paldea Evolved,$0.01,$0.05,$15.00
4,0,0,Litten,SWSH12: Silver Tempest,$0.01,$0.06,$1.28
1,0,0,Litten (26),SM - Unbroken Bonds,$0.04,$0.15,$1.35
2,0,0,Liepard,Champion's Path,$0.01,$0.10,$1.31
1,0,0,Life Herb - [Reverse Holofoil],Unleashed,$0.20,$0.50,$2.99
1,0,0,Ledyba,Legends Awakened,$0.09,$0.23,$3.25
1,0,0,Ledyba (Delta Species),Dragon Frontiers,$0.10,$0.35,$2.00
1,0,0,Leavanny - [Reverse Holofoil],SWSH08: Fusion Strike,$0.05,$0.20,$6.32
1,0,0,Leavanny,SWSH08: Fusion Strike,$0.05,$0.15,$2.16
6,0,0,Larvesta,Crown Zenith,$0.01,$0.05,$5.00
1,0,0,Larvitar (50),Unleashed,$0.16,$0.30,$1.43
1,0,0,Larvitar (Delta Species),Dragon Frontiers,$0.05,$0.30,$1.49
1,0,0,Lairon - [Reverse Holofoil],Rising Rivals,$0.25,$0.54,$1.00
1,0,0,Lairon,SM - Unbroken Bonds,$0.03,$0.15,$1.35
2,0,0,Lampent,SM - Lost Thunder,$0.10,$0.20,$1.40
1,0,0,Lance,SWSH12: Silver Tempest,$0.01,$0.10,$1.99
1,0,0,Landorus - [Holofoil],SWSH08: Fusion Strike,$0.01,$0.16,$2.00
1,0,0,Lapras,SWSH01: Sword & Shield Base Set,$0.07,$0.22,$4.00
1,0,0,Lapras - [Holofoil],Pokemon GO,$0.01,$0.19,$4.99
2,0,0,Koffing,Shining Fates,$0.01,$0.10,$2.00
1,0,0,Koffing,SWSH06: Chilling Reign,$0.01,$0.06,$2.00
1,0,0,Koffing - [Reverse Holofoil],SV: Scarlet & Violet 151,$0.03,$0.16,$1.31
1,0,0,Krabby (042),SWSH01: Sword & Shield Base Set,$0.01,$0.10,$1.50
1,0,0,Krokorok,SM Base Set,$0.01,$0.10,$2.02
1,0,0,Krookodile - [Holofoil],SWSH12: Silver Tempest,$0.01,$0.19,$2.00
1,0,0,Kingler (Delta Species),Crystal Guardians,$0.90,$2.64,$6.51
5,0,0,Kirlia - 028/091,SV: Paldean Fates,$0.01,$0.05,$5.04
1,0,0,Klang - 11/12 - [Holofoil],McDonald's Promos 2012,$1.21,$2.00,$3.15
1,0,0,Klawf - 217/198 - [Holofoil],SV01: Scarlet & Violet Base Set,$1.00,$2.00,$8.10
1,0,0,Klefki - [Holofoil],SV: Paldean Fates,$3.00,$4.36,$10.69
1,0,0,Klinklang,SWSH09: Brilliant Stars,$0.01,$0.10,$4.00
4,0,0,Kilowattrel - 022/091,SV: Paldean Fates,$0.01,$0.06,$5.00
4,0,0,Kindler,SWSH09: Brilliant Stars,$0.01,$0.10,$1.95
1,0,0,Keldeo - [Holofoil],Crown Zenith: Galarian Gallery,$1.19,$2.33,$9.95
1,0,0,Jynx,Base Set 2,$0.22,$0.47,$11.00
2,0,0,Jubilife Village,SWSH10: Astral Radiance,$0.01,$0.10,$1.54
2,0,0,Judge,SWSH08: Fusion Strike,$0.01,$0.20,$2.65
1,0,0,Judge - [Reverse Holofoil],SWSH08: Fusion Strike,$0.04,$0.35,$5.31
2,0,0,Jet Energy - [Reverse Holofoil],SV02: Paldea Evolved,$0.21,$1.20,$6.00
2,0,0,Jet Energy,SV02: Paldea Evolved,$0.15,$0.99,$342.00
2,0,0,Jigglypuff (88),XY Base Set,$0.10,$0.38,$2.38
1,0,0,Ivysaur,Supreme Victors,$0.99,$2.24,$22.00
1,0,0,Iron Bundle,SV04: Paradox Rift,$0.01,$0.11,$2.95
1,0,0,Iono - 269/193 - [Holofoil],SV02: Paldea Evolved,$66.40,$80.62,$269.97
1,0,0,Impidimp - [Reverse Holofoil],SWSH09: Brilliant Stars,$0.04,$0.14,$2.00
1,0,0,Eviolite - [Reverse Holofoil],Noble Victories,$0.14,$0.49,$1.38
2,0,0,Hunting Gloves,SWSH09: Brilliant Stars,$0.01,$0.07,$1.28
1,0,0,Hunting Gloves - [Reverse Holofoil],SWSH09: Brilliant Stars,$0.01,$0.12,$2.00
2,0,0,Hoopa,SWSH11: Lost Origin,$0.01,$0.12,$2.00
1,0,0,Hoothoot - [Unlimited],Neo Genesis,$0.24,$0.46,$2.00
1,0,0,Hoothoot,SWSH01: Sword & Shield Base Set,$0.01,$0.10,$1.29
1,0,0,Hoothoot - [Holofoil],SWSH10: Astral Radiance Trainer Gallery,$0.34,$0.97,$9.99
1,0,0,Horsea,SM - Burning Shadows,$0.01,$0.10,$1.29
1,0,0,Houndoom - 034/198 - [Reverse Holofoil],SV01: Scarlet & Violet Base Set,$0.01,$0.15,$2.95
1,0,0,Honchkrow,Supreme Victors,$0.71,$1.64,$2.99
2,0,0,Honchkrow,SWSH12: Silver Tempest,$0.01,$0.07,$5.00
1,0,0,Honchkrow V - [Holofoil],SWSH09: Brilliant Stars,$0.20,$0.75,$5.95
5,0,0,Hippopotas,SWSH07: Evolving Skies,$0.01,$0.08,$1.00
1,0,0,Hippopotas - [Reverse Holofoil],SWSH07: Evolving Skies,$0.04,$0.12,$2.00
4,0,0,Hippopotas,SWSH10: Astral Radiance,$0.01,$0.05,$999.00
1,0,0,Hippowdon,Next Destinies,$0.06,$0.25,$4.50
1,0,0,Hisuian Arcanine V - [Holofoil],SWSH12: Silver Tempest,$0.17,$0.67,$5.00
1,0,0,Hisuian Avalugg,SWSH10: Astral Radiance,$0.03,$0.12,$2.00
4,0,0,Hisuian Growlithe,SWSH10: Astral Radiance,$0.01,$0.08,$1.00
1,0,0,Hisuian Growlithe - [Reverse Holofoil],SWSH10: Astral Radiance,$0.05,$0.16,$2.00
4,0,0,Hisuian Growlithe,SWSH11: Lost Origin,$0.01,$0.06,$999.00
1,0,0,Hisuian Sneasler - [Holofoil],SWSH10: Astral Radiance,$0.02,$0.23,$2.00
2,0,0,Hitmonlee,Legends Awakened,$0.25,$0.41,$8.76
2,0,0,Heracross,SM - Unified Minds,$0.07,$0.20,$4.99
2,0,0,Heracross,SWSH10: Astral Radiance,$0.01,$0.06,$999.00
1,0,0,Heracross,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
2,0,0,Heracross - 006/193,SV02: Paldea Evolved,$0.01,$0.07,$2.95
1,0,0,Herdier,SM Base Set,$0.01,$0.11,$2.00
5,0,0,Hawlucha,XY - Steam Siege,$0.01,$0.17,$2.00
5,0,0,Hawlucha,SWSH09: Brilliant Stars,$0.01,$0.06,$1.28
1,0,0,Heat Rotom - [Holofoil],SV: Paldean Fates,$0.01,$0.10,$5.00
1,0,0,Heat Rotom - [Reverse Holofoil],SV: Paldean Fates,$0.04,$0.16,$2.24
1,0,0,Heatmor,SWSH05: Battle Styles,$0.01,$0.10,$1.05
3,0,0,Heatmor,SWSH08: Fusion Strike,$0.01,$0.10,$1.32
1,0,0,Hatenna,Champion's Path,$0.01,$0.10,$1.32
1,0,0,Hattrem,SWSH02: Rebel Clash,$0.01,$0.10,$1.41
2,0,0,Haunter,SWSH01: Sword & Shield Base Set,$0.04,$0.18,$1.50
1,0,0,Hakamo-o,Dragon Majesty,$0.09,$0.21,$1.41
1,0,0,Hariyama,Great Encounters,$0.21,$0.29,$1.52
1,0,0,Gyarados - [Holofoil],SV: Scarlet & Violet 151,$0.02,$0.18,$5.00
1,0,0,Gyarados VMAX - [Holofoil],SWSH07: Evolving Skies,$1.99,$3.67,$29.99
1,0,0,Grimer - [Reverse Holofoil],SV01: Scarlet & Violet Base Set,$0.01,$0.10,$2.95
1,0,0,Grookey (010),SWSH01: Sword & Shield Base Set,$0.01,$0.10,$2.00
1,0,0,Grotle,Majestic Dawn,$0.15,$0.51,$7.05
4,0,0,Grotle,SWSH09: Brilliant Stars,$0.01,$0.10,$1.30
1,0,0,Growlithe - 024 - [Holofoil],SV: Scarlet & Violet Promo Cards,$0.14,$0.30,$1.25
3,0,0,Great Ball,SV02: Paldea Evolved,$0.01,$0.10,$2.95
2,0,0,Great Ball - [Reverse Holofoil],SV02: Paldea Evolved,$0.01,$0.18,$2.99
4,0,0,Greavard,SV: Paldean Fates,$0.01,$0.05,$5.00
1,0,0,Greavard - 104/198,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$2.95
2,0,0,Greedent,SV01: Scarlet & Violet Base Set,$0.01,$0.06,$2.95
1,0,0,Greedent V - [Holofoil],Crown Zenith,$0.24,$0.66,$15.00
1,0,0,Grass Energy (Secret) - [Holofoil],SWSH08: Fusion Strike,$4.71,$8.32,$29.99
2,0,0,Graveler,Crown Zenith,$0.01,$0.07,$0.99
1,0,0,Gothita (43),Emerging Powers,$0.04,$0.25,$20.29
1,0,0,Gothorita - 091/193,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Gothorita - 091/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.01,$0.15,$2.95
1,0,0,Granbull,SV03: Obsidian Flames,$0.01,$0.08,$2.95
5,0,0,Goldeen,Base Set 2,$0.08,$0.30,$2.00
3,0,0,Golduck,SWSH07: Evolving Skies,$0.01,$0.10,$1.28
1,0,0,Golduck - [Reverse Holofoil],SWSH07: Evolving Skies,$0.03,$0.15,$2.00
1,0,0,Golem - [Reverse Holofoil],Secret Wonders,$0.65,$2.56,$4.97
2,0,0,Golett,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
4,0,0,Golett,SWSH06: Chilling Reign,$0.01,$0.05,$2.00
4,0,0,Golett,SWSH09: Brilliant Stars,$0.01,$0.05,$0.99
1,0,0,Golurk V - [Holofoil],SWSH07: Evolving Skies,$0.25,$0.71,$4.99
5,0,0,Goomy,SWSH11: Lost Origin,$0.01,$0.05,$999.00
1,0,0,Goomy - [Reverse Holofoil],SWSH11: Lost Origin,$0.03,$0.15,$2.00
1,0,0,Gorebyss,SWSH08: Fusion Strike,$0.01,$0.12,$2.00
1,0,0,Glaceon V - [Holofoil],SWSH07: Evolving Skies,$0.50,$1.00,$999.99
1,0,0,Glacia's Stadium,Power Keepers,$0.74,$2.19,$3.97
1,0,0,Glimmet - 122/197,SV03: Obsidian Flames,$0.01,$0.08,$2.95
1,0,0,Glimwood Tangle,SWSH03: Darkness Ablaze,$0.03,$0.15,$2.00
2,0,0,Gliscor,SWSH08: Fusion Strike,$0.01,$0.08,$1.29
1,0,0,Gloom (97),Legends Awakened,$0.09,$0.41,$2.48
7,0,0,Gible,SWSH09: Brilliant Stars,$0.01,$0.07,$1.28
1,0,0,Gigalith,SWSH07: Evolving Skies,$0.01,$0.10,$2.00
3,0,0,Gimmighoul,SV: Paldean Fates,$0.01,$0.06,$5.00
3,0,0,Girafarig,SWSH04: Vivid Voltage,$0.01,$0.10,$1.00
3,0,0,Girafarig,SV02: Paldea Evolved,$0.01,$0.06,$2.95
2,0,0,Girafarig - [Reverse Holofoil],SV02: Paldea Evolved,$0.01,$0.11,$2.95
1,0,0,Giratina V - [Holofoil],SWSH11: Lost Origin,$0.40,$1.26,$15.00
1,0,0,Genesect V - [Holofoil],SWSH08: Fusion Strike,$0.10,$0.80,$22.99
1,0,0,Gholdengo - [Holofoil],SV: Paldean Fates,$0.01,$0.11,$5.00
1,0,0,Gholdengo - [Reverse Holofoil],SV: Paldean Fates,$0.01,$0.19,$2.95
1,0,0,Garbodor VMAX - [Holofoil],SWSH07: Evolving Skies,$0.50,$1.25,$24.99
1,0,0,Gardevoir ex - 086/198 - [Holofoil],SV01: Scarlet & Violet Base Set,$0.15,$0.75,$29.95
1,0,0,Gardevoir V - [Holofoil],Champion's Path,$0.25,$0.95,$7.99
3,0,0,Gastly - [Reverse Holofoil],SV: Paldean Fates,$0.01,$0.14,$1.29
1,0,0,Gastly - [Reverse Holofoil],SV: Paldean Fates,$0.01,$0.14,$1.29
2,0,0,Gastly - [Reverse Holofoil],SV: Paldean Fates,$0.01,$0.14,$1.29
1,0,0,Gallade E4 - [Reverse Holofoil],Rising Rivals,$1.00,$2.06,$2.95
1,0,0,Galvantula,XY - Steam Siege,$0.11,$0.28,$2.67
2,0,0,Galarian Corsola,SWSH02: Rebel Clash,$0.01,$0.10,$0.99
2,0,0,Galarian Farfetch'd,SWSH06: Chilling Reign,$0.01,$0.06,$5.00
3,0,0,Galarian Perrserker V - [Holofoil],SWSH11: Lost Origin,$0.15,$0.62,$10.00
1,0,0,Galarian Ponyta,SWSH01: Sword & Shield Base Set,$0.03,$0.15,$1.99
1,0,0,Galarian Slowpoke,SWSH05: Battle Styles,$0.01,$0.10,$1.05
3,0,0,Galarian Yamask,SWSH06: Chilling Reign,$0.01,$0.07,$2.00
1,0,0,Galarian Zigzagoon,SWSH01: Sword & Shield Base Set,$0.01,$0.15,$1.00
2,0,0,Galarian Zigzagoon,SWSH08: Fusion Strike,$0.01,$0.06,$1.28
1,0,0,Fuecoco - [Holofoil],McDonald's Promos 2023,$0.54,$1.07,$3.69
2,0,0,Fuecoco - 035/193,SV02: Paldea Evolved,$0.01,$0.10,$5.00
1,0,0,Fuecoco - 079 - [Holofoil],SV: Scarlet & Violet Promo Cards,$0.50,$0.99,$4.99
1,0,0,Furret - [Reverse Holofoil],SWSH03: Darkness Ablaze,$0.05,$0.25,$2.00
1,0,0,Fusion Strike Energy,SWSH08: Fusion Strike,$0.01,$0.10,$5.95
1,0,0,Friends in Galar - [Holofoil],SWSH12: Silver Tempest Trainer Gallery,$3.00,$5.67,"$5,300.00"
4,0,0,Frigibax - 058/193,SV02: Paldea Evolved,$0.01,$0.10,$2.95
3,0,0,Frillish,SWSH05: Battle Styles,$0.01,$0.10,$2.00
1,0,0,Froakie - [Reverse Holofoil],SV03: Obsidian Flames,$0.03,$0.20,$2.95
1,0,0,Frogadier,SM - Unbroken Bonds,$0.03,$0.19,$1.00
1,0,0,Fossil Excavator,Mysterious Treasures,$0.08,$0.25,$1.57
3,0,0,Foongus,SWSH12: Silver Tempest,$0.01,$0.05,$1.28
3,0,0,Floatzel,SWSH09: Brilliant Stars,$0.01,$0.06,$2.00
1,0,0,Florges,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$2.95
1,0,0,Flygon - [Reverse Holofoil],SWSH03: Darkness Ablaze,$0.18,$0.36,$1.55
2,0,0,Fletchinder - 029/193,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Fletchinder - 029/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.03,$0.15,$2.95
1,0,0,Flamigo,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$2.95
2,0,0,Flannery,SWSH06: Chilling Reign,$0.01,$0.10,$5.99
2,0,0,Flapple,SWSH07: Evolving Skies,$0.01,$0.11,$2.00
2,0,0,Flaaffy,Secret Wonders,$0.10,$0.35,$2.99
2,0,0,Flaaffy,XY - Steam Siege,$0.02,$0.15,$2.00
1,0,0,Flaaffy,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$5.00
1,0,0,Finizen 60/197,SV03: Obsidian Flames,$0.01,$0.10,$2.95
1,0,0,Feebas,Dragon Majesty,$0.05,$0.27,$1.47
1,0,0,Fennekin - 3/12 - [Holofoil],McDonald's Promos 2014,$1.55,$3.01,$9.32
3,0,0,Ferroseed,SWSH01: Sword & Shield Base Set,$0.01,$0.10,$1.28
2,0,0,Ferrothorn,SWSH04: Vivid Voltage,$0.01,$0.10,$2.00
3,0,0,Farewell Bell,SWSH08: Fusion Strike,$0.01,$0.08,$1.28
5,0,0,Farfetch'd,SWSH09: Brilliant Stars,$0.01,$0.05,$2.00
4,0,0,Falkner - 180/193,SV02: Paldea Evolved,$0.01,$0.07,$5.05
1,0,0,Falkner - 251/193 - [Holofoil],SV02: Paldea Evolved,$0.25,$1.25,$20.00
1,0,0,Familiar Bell,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
1,0,0,Fairy Garden,XY Base Set,$0.02,$0.25,$2.49
6,0,0,Exeggcute,SWSH09: Brilliant Stars,$0.01,$0.05,$1.50
1,0,0,Combee,SWSH10: Astral Radiance,$0.01,$0.06,$2.00
1,0,0,Evosoda,Generations,$0.31,$0.97,$4.00
1,0,0,Entei - [Holofoil],SWSH07: Evolving Skies,$0.07,$0.23,$9.99
2,0,0,Espeon V - SWSH201 - [Holofoil],SWSH: Sword & Shield Promo Cards,$0.24,$0.75,$6.03
4,0,0,Espurr,SWSH05: Battle Styles,$0.01,$0.10,$1.28
1,0,0,Energy Removal,Base Set,$0.08,$0.34,$9.00
2,0,0,Energy Retrieval,Black and White,$0.03,$0.20,$1.78
2,0,0,Energy Retrieval,XY - Primal Clash,$0.03,$0.22,$55.00
1,0,0,Energy Search,Crystal Guardians,$0.02,$0.20,$4.99
1,0,0,Energy Search,SWSH01: Sword & Shield Base Set,$0.02,$0.15,$2.00
3,0,0,Energy Search,Crown Zenith,$0.01,$0.10,$1.54
1,0,0,Energy Search - [Reverse Holofoil],Crown Zenith,$0.04,$0.25,$10.00
1,0,0,Engineer's Adjustments,Unleashed,$0.10,$0.29,$1.40
1,0,0,Emolga,Next Destinies,$0.09,$0.25,$20.26
1,0,0,Emolga,Crown Zenith,$0.01,$0.06,$5.00
2,0,0,Emcee's Chatter,Unleashed,$0.08,$0.25,$1.35
2,0,0,Eelektrik - [Reverse Holofoil],Noble Victories,$14.00,$18.12,$22.49
1,0,0,Eevee - [Holofoil],SM Base Set,$0.00,$0.00,$0.00
4,0,0,Eevee,SWSH04: Vivid Voltage,$0.01,$0.10,$1.04
2,0,0,Vulpix,Champion's Path,$0.01,$0.11,$0.99
4,0,0,Vulpix,SWSH12: Silver Tempest,$0.01,$0.06,$1.28
1,0,0,Vulpix,SV: Scarlet & Violet 151,$0.01,$0.08,$4.00
1,0,0,Virizion,SWSH08: Fusion Strike,$0.03,$0.14,$2.00
1,0,0,Virizion - [Reverse Holofoil],SWSH08: Fusion Strike,$0.09,$0.21,$2.00
1,0,0,Venusaur - [Holofoil],Base Set,$46.00,$85.06,$200.00
1,0,0,Vibrava - [Reverse Holofoil],SWSH03: Darkness Ablaze,$0.03,$0.20,$2.00
3,0,0,Vibrava,SWSH03: Darkness Ablaze,$0.01,$0.10,$1.33
1,0,0,Vigoroth,Mysterious Treasures,$0.16,$0.29,$8.99
2,0,0,Venonat - [Unlimited],Jungle,$0.05,$0.27,$5.28
2,0,0,Venonat,SWSH12: Silver Tempest,$0.01,$0.06,$1.28
1,0,0,Venonat,SV: Scarlet & Violet 151,$0.01,$0.08,$4.00
1,0,0,Vanillish,Next Destinies,$0.04,$0.23,$1.90
1,0,0,Varoom - 140/198,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
2,0,0,Umbreon V - SWSH203 - [Holofoil],SWSH: Sword & Shield Promo Cards,$0.39,$1.15,$363.00
1,0,0,Turffield Stadium (Secret) - [Holofoil],SWSH07: Evolving Skies,$2.23,$3.99,$25.00
1,0,0,Turtonator - [Reverse Holofoil],SWSH08: Fusion Strike,$0.09,$0.23,$2.00
1,0,0,Turtwig,POP Series 9,$0.24,$0.59,$5.00
1,0,0,Tynamo (64),SM - Unified Minds,$0.02,$0.19,$4.99
1,0,0,Tyranitar - [Reverse Holofoil],Unleashed,$6.64,$8.99,$19.95
1,0,0,Tyranitar ex - [Holofoil],SV03: Obsidian Flames,$0.66,$1.53,$6.99
1,0,0,Tyrogue,Legends Awakened,$0.25,$0.47,$8.99
1,0,0,Tsareena V - [Holofoil],SWSH08: Fusion Strike,$0.25,$0.74,$30.00
3,0,0,Trubbish,SWSH04: Vivid Voltage,$0.01,$0.10,$2.00
1,0,0,Trapinch,Rising Rivals,$0.15,$0.25,$3.99
1,0,0,Trapinch - [Holofoil],Legend Maker,$0.00,$0.00,$0.00
1,0,0,Trapinch,Dragon Majesty,$0.04,$0.15,$1.35
1,0,0,Treecko,Crystal Guardians,$0.10,$0.31,$4.99
2,0,0,Trekking Shoes,SWSH10: Astral Radiance,$0.01,$0.15,$1.95
5,0,0,Tranquill,Pokemon GO,$0.01,$0.06,$2.00
2,0,0,Tool Box,SWSH11: Lost Origin,$0.01,$0.10,$1.24
1,0,0,Torchic,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
2,0,0,Tornadus,SWSH09: Brilliant Stars,$0.01,$0.12,$5.02
1,0,0,Torterra,Majestic Dawn,$0.65,$1.00,$2.97
1,0,0,Torterra - [Holofoil],SWSH09: Brilliant Stars,$0.05,$0.24,$4.00
2,0,0,Totodile,Mysterious Treasures,$0.15,$0.28,$5.00
1,0,0,Toucannon,SWSH04: Vivid Voltage,$0.03,$0.15,$2.00
3,0,0,Toxapex,SWSH12: Silver Tempest,$0.01,$0.07,$1.50
1,0,0,Toxel,SWSH02: Rebel Clash,$0.01,$0.10,$1.41
1,0,0,Toxel - [Reverse Holofoil],SV04: Paradox Rift,$0.01,$0.10,"$10,000.00"
1,0,0,Toxel,SV04: Paradox Rift,$0.01,$0.06,$5.00
1,0,0,Togepi,Undaunted,$0.20,$0.40,$19.59
3,0,0,Togepi - [Reverse Holofoil],SV03: Obsidian Flames,$0.04,$0.15,$2.95
1,0,0,Togepi (Delta Species),Dragon Frontiers,$1.04,$1.53,$2.71
1,0,0,Toedscruel,SV03: Obsidian Flames,$0.01,$0.07,$2.95
1,0,0,Timburr (58) - [Reverse Holofoil],Black and White,$0.18,$0.45,$1.49
1,0,0,Tinkatink - 082/182,SV04: Paradox Rift,$0.01,$0.08,$5.00
2,0,0,Tinkatink - 102/193,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Thievul,SWSH10: Astral Radiance,$0.01,$0.10,$2.00
1,0,0,Tentacool,Triumphant,$0.10,$0.26,$1.33
1,0,0,Tentacool - [Reverse Holofoil],Triumphant,$0.34,$0.75,$5.38
1,0,0,Tentacool,SM - Unbroken Bonds,$0.03,$0.15,$1.50
2,0,0,Terrakion - [Reverse Holofoil],SWSH04: Vivid Voltage,$0.05,$0.19,$2.00
1,0,0,Team Star Grunt - 242/198 - [Holofoil],SV01: Scarlet & Violet Base Set,$0.75,$1.53,$999.99
2,0,0,Teddiursa,Mysterious Treasures,$0.14,$0.45,$20.74
2,0,0,Teddiursa,SWSH10: Astral Radiance,$0.01,$0.06,$999.00
1,0,0,Tandemaus - 153/182,SV04: Paradox Rift,$0.01,$0.10,$5.00
3,0,0,Tangela,Base Set 2,$0.11,$0.38,$2.49
1,0,0,Tangela,XY - Evolutions,$0.01,$0.10,$3.00
2,0,0,Tangela (76),Arceus,$0.10,$0.25,$1.86
1,0,0,Tapu Lele GX - [Holofoil],SM - Guardians Rising,$2.50,$4.36,$14.95
5,0,0,Tarountula - 017/193,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Tarountula - 017/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.03,$0.15,$2.95
1,0,0,Talonflame,SWSH03: Darkness Ablaze,$0.05,$0.16,$2.00
1,0,0,Talonflame,SWSH12: Silver Tempest,$0.01,$0.10,$2.00
3,0,0,Talonflame,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Talonflame - [Reverse Holofoil],SV02: Paldea Evolved,$0.05,$0.15,$15.00
3,0,0,Sylveon - [Holofoil],Pokemon GO,$0.08,$0.26,$100.00
1,0,0,Sylveon V - [Holofoil],SWSH07: Evolving Skies,$0.45,$1.06,$64.99
1,0,0,Sylveon V (Alternate Full Art) - [Holofoil],SWSH07: Evolving Skies,$81.84,$93.94,$321.21
3,0,0,Tadbulb - 077/193,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Tadbulb 075/197,SV03: Obsidian Flames,$0.01,$0.08,$5.00
1,0,0,Swirlix,SWSH06: Chilling Reign,$0.01,$0.06,$2.00
1,0,0,Switch,SV01: Scarlet & Violet Base Set,$0.03,$0.20,$19.00
7,0,0,Swoobat,SV: Paldean Fates,$0.01,$0.06,$5.00
2,0,0,Sweet Honey,SWSH10: Astral Radiance,$0.01,$0.10,$1.28
5,0,0,Swablu,SWSH07: Evolving Skies,$0.01,$0.06,$2.00
4,0,0,Swablu,SWSH12: Silver Tempest,$0.01,$0.05,$1.28
1,0,0,Swablu - [Holofoil],Crown Zenith: Galarian Gallery,$0.43,$0.97,$10.00
1,0,0,Swadloon (6),Emerging Powers,$0.14,$0.29,$20.41
4,0,0,Super Rod - 188/193,SV02: Paldea Evolved,$0.39,$1.00,$175.00
2,0,0,Super Rod - 276/193 - [Holofoil],SV02: Paldea Evolved,$15.48,$18.60,$39.99
1,0,0,Super Scoop Up,Unleashed,$0.30,$0.56,$2.00
1,0,0,Sunflora,SWSH12: Silver Tempest,$0.01,$0.08,$1.28
2,0,0,Sudowoodo,SM - Lost Thunder,$0.04,$0.20,$1.32
1,0,0,Sudowoodo,SWSH01: Sword & Shield Base Set,$0.01,$0.10,$3.55
